GEO_ID,B03002_E001,B03002_M001,B03002_E002,B03002_M002,B03002_E003,B03002_M003,B03002_E004,B03002_M004,B03002_E005,B03002_M005,B03002_E006,B03002_M006,B03002_E007,B03002_M007,B03002_E008,B03002_M008,B03002_E009,B03002_M009,B03002_E010,B03002_M010,B03002_E011,B03002_M011,B03002_E012,B03002_M012,B03002_E013,B03002_M013,B03002_E014,B03002_M014,B03002_E015,B03002_M015,B03002_E016,B03002_M016,B03002_E017,B03002_M017,B03002_E018,B03002_M018,B03002_E019,B03002_M019,B03002_E020,B03002_M020,B03002_E021,B03002_M021
1400000US06037199300,3687,578,1744,512,629,150,34,46,79,77,781,450,0,14,10,17,211,135,26,30,185,130,1943,336,241,163,0,14,90,99,8,15,0,14,574,223,1030,361,678,318,352,271
1400000US06037199400,4243,844,1580,696,285,136,179,130,0,14,1103,706,0,14,0,14,13,17,0,14,13,17,2663,662,328,263,0,14,69,80,0,14,0,14,1745,534,521,283,457,294,64,65
1400000US06037199700,3500,559,1374,408,373,120,178,183,0,14,589,282,32,46,27,44,175,182,0,14,175,182,2126,431,123,88,11,18,135,120,0,14,80,79,1428,564,349,162,270,150,79,69
1400000US06037199801,3520,638,1187,388,51,47,18,22,24,36,993,420,91,125,0,14,10,16,0,14,10,16,2333,578,0,14,0,14,0,14,10,15,19,27,2041,581,263,154,228,139,35,46
1400000US06037199802,1905,263,1036,265,107,94,0,14,50,68,849,286,0,14,8,14,22,28,9,16,13,23,869,179,85,108,0,14,0,14,5,11,0,14,661,204,118,90,92,83,26,31
1400000US06037199900,2414,396,500,186,45,36,0,14,0,14,419,190,0,14,36,25,0,14,0,14,0,14,1914,346,180,152,40,57,14,16,16,23,0,14,1374,307,290,148,281,148,9,13
1400000US06037201110,2476,301,574,172,343,106,48,56,0,14,168,109,0,14,0,14,15,18,10,17,5,7,1902,305,237,126,0,14,26,37,0,14,0,14,1058,351,581,145,549,145,32,39
1400000US06037201120,3892,527,1046,379,558,261,96,141,29,41,292,210,0,14,7,13,64,52,0,14,64,52,2846,581,188,140,0,14,156,131,0,14,0,14,1608,516,894,368,616,277,278,214
1400000US06037201200,2513,387,414,170,207,114,0,14,0,14,136,120,0,14,34,46,37,29,0,14,37,29,2099,449,153,92,0,14,13,21,0,14,0,14,1253,295,680,369,603,320,77,117
1400000US06037201301,3215,745,816,292,228,164,134,133,3,7,363,240,0,14,43,63,45,45,0,14,45,45,2399,811,594,693,0,14,28,44,0,14,0,14,1350,349,427,195,421,195,6,15
